time,mag_max,event_count,mag_mean,mag_sum,longitude_mean,latitude_mean,depth_mean,time_diff_float_mean,time_diff_float_std,depth_std,latitude_std,longitude_std,mag_scatter,weight_richter,weight_Mw
17/07/1991,2.9,3,2.633333333,7.9,28.64166667,39.84866667,9.833333333,40100,22710.79919,0.288675135,0.916894941,0.890562931,0.305505046,1.00E-06,1
26/07/1991,2.6,1,2.6,2.6,29.502,40.838,10,36660,56197.8187,7.193375673,0.672490149,1.208006822,0.19406941,1.00E-06,1
27/07/1991,2.9,3,2.866666667,8.6,29.354,39.877,8.333333333,45660,47934.36763,2.886751346,0.8366415,1.494624702,0.057735027,1.00E-06,1
29/07/1991,2.9,1,2.9,2.9,28.948,39.351,10,57240,25415.7891,3.680065,0.830282756,1.075648484,0.188107862,1.00E-06,1
30/07/1991,2.9,2,2.85,5.7,28.664,39.5615,10,34110,40771.777,3.680065,0.618718434,1.370372942,0.070710678,1.00E-06,1
04/08/1991,2.9,5,2.72,13.6,28.2334,39.8056,10,1061004,2351263.711,3.680065,0.924773107,0.801430159,0.178885438,1.00E-06,1
29/08/1991,2.5,1,2.5,2.5,25.343,41.456,10,111840,495305.3774,2.225,0.604914983,0.875762247,0.336972076,1.00E-06,1
06/09/1991,2.4,1,2.4,2.4,28.946,39.322,10,2645340,1152526.324,1.763053598,0.871521889,1.142741233,0.332930637,1.00E-06,1
01/10/1991,2.7,6,2.55,15.3,28.42566667,39.94816667,10,435320,1028835.179,3.680065,0.686102155,0.505971804,0.104880885,1.00E-06,1
04/10/1991,2.8,1,2.8,2.8,27.963,40.394,10,2602380,1360240.646,3.680065,0.5586418,0.330456183,0.112822762,1.00E-06,1
05/10/1991,2.8,3,2.666666667,8,27.76366667,39.419,10,865200,1470709.135,3.680065,0.516155015,0.271950976,0.115470054,1.00E-06,1
27/10/1991,2.9,1,2.9,2.9,25.28,40.296,5,450480,701380.9421,0.654545455,0.455858159,0.819028271,0.35346154,1.00E-06,1
28/10/1991,2.9,1,2.9,2.9,25.686,40.851,10,149400,817945.4256,0.763636364,0.523467089,0.949286873,0.365231344,1.00E-06,1
02/11/1991,2.9,3,2.833333333,8.5,27.46033333,39.6,8.333333333,2657160,4585501.651,2.886751346,0.611139919,0.556921299,0.057735027,1.00E-06,1
04/11/1991,2.9,8,2.6625,21.3,28.25075,39.92725,9.375,336862.5,924204.5623,1.767766953,0.946356887,0.70325219,0.130247018,1.00E-06,1
06/11/1991,2.9,4,2.7,10.8,27.733,39.581,10,1326690,2618536.47,3.680065,0.661656003,1.373396034,0.182574186,1.00E-06,1
16/11/1991,2.9,1,2.9,2.9,26.182,39.823,10,489660,2001948.46,0.381837662,0.868410965,1.02441948,0.333168161,1.00E-06,1
18/11/1991,2.4,1,2.4,2.4,24.468,39.852,10,183000,1394807.094,0.466690476,0.809928858,1.066905302,0.316393012,1.00E-06,1
26/11/1991,2.9,1,2.9,2.9,25.044,40.298,10,364500,606580.8723,0.353553391,0.71511006,0.954422894,0.215083306,1.00E-06,1
28/11/1991,2.5,1,2.5,2.5,25.678,40.965,5,86280,819609.1278,0.212132034,0.726182767,0.855695867,0.181203603,1.00E-06,1
01/12/1991,2.7,5,2.58,12.9,28.1724,39.7082,10,514512,1139151.511,3.680065,0.742791828,0.707605328,0.130384048,1.00E-06,1
04/12/1991,2.7,4,2.575,10.3,27.97125,39.50175,10,639255,1258289.826,3.680065,0.763058921,0.723186179,0.095742711,1.00E-06,1
12/02/1992,2.8,1,2.8,2.8,27.666,39.081,10,-25232820,235266.8201,3.124845786,0.791564028,5.031238576,0.863494283,1.00E-06,1
13/02/1992,2.1,1,2.1,2.1,24.297,40.943,10,-25316880,124995.4818,3.352208727,0.878391587,5.586929282,0.94246559,1.00E-06,1
27/02/1992,2.5,1,2.5,2.5,24.487,40.949,10,127680,6507600.92,3.740519795,0.83320689,3.082666462,0.710907026,1.00E-06,1
12/03/1992,2.7,1,2.7,2.7,28.71,39.369,5,2549220,6350056.236,4.3,0.260093638,0.590613987,0.651100313,1.00E-06,1
26/03/1992,2.4,1,2.4,2.4,24.276,40.177,10,86580,2275771.578,1.6125,1.026594862,9.007528385,0.941436318,1.00E-06,1
12/04/1992,2.6,1,2.6,2.6,28.91,40.608,10,2602020,1174772.551,1.356773133,0.258268249,1.065311251,0.238745861,1.00E-06,1
27/04/1992,2.4,1,2.4,2.4,25.234,40.094,10,142860,315112.5559,8.210528565,0.488467584,4.5111572,0.891820476,1.00E-06,1
10/05/1992,2.5,1,2.5,2.5,24.183,40.023,10,5248740,993409.8215,0.586466326,0.488221643,1.488527444,0.43045779,1.00E-06,1
12/05/1992,2.7,2,2.65,5.3,29.415,40.04,10,1327920,1840202.972,3.680065,0.033941125,0.021213203,0.070710678,1.00E-06,1
24/05/1992,2.5,1,2.5,2.5,30.999,40.751,10,63660,76663.52695,3.351989459,0.62555084,4.779917246,0.563712061,1.00E-06,1
29/05/1992,2.7,1,2.7,2.7,30.001,39.573,10,75540,1262207.768,3.680065,0.682879153,1.012997007,0.133658458,1.00E-06,1
04/06/1992,2.5,1,2.5,2.5,30.409,40.771,10,2690340,8078609.248,3.680065,1.293372747,2.504834263,0.019094065,1.00E-06,1
05/06/1992,2.7,2,2.7,5.4,33.319,40.0935,10,6597840,9214676.161,3.680065,1.395121679,2.753473806,0,1.00E-06,1
12/06/1992,2.8,3,2.7,8.1,28.00666667,39.452,10,883920,1519724.586,3.680065,0.644360924,0.675870057,0.1,1.00E-06,1
17/06/1992,2.9,1,2.9,2.9,31.569,41.238,10,197220,1123521.646,1.500433965,0.454460256,0.471075166,0.226038217,1.00E-06,1
12/07/1992,2.7,3,2.7,8.1,29.15433333,39.747,10,876480,1463312.791,3.680065,0.784710775,0.855875186,0,1.00E-06,1
16/07/1992,3,1,3,3,31.614,41.251,10,153960,4789064.523,3.818376618,0.073539105,0.554136014,0.070710678,1.00E-06,2
20/07/1992,2.8,2,2.65,5.3,30.5325,40.8,10,77940,40050.52809,3.680065,0.111722871,1.617153209,0.212132034,1.00E-06,1
21/07/1992,2.9,1,2.9,2.9,31.595,41.291,10,53580,48930.46902,0.377777778,0.094860583,1.134654911,0.42719516,1.00E-06,1
29/07/1992,2.8,2,2.8,5.6,26.8955,39.4685,21.5,52290,54433.08002,16.26345597,0.488610786,3.56311107,0,1.00E-06,1
31/07/1992,2.6,1,2.6,2.6,24.425,39.831,10,138240,621047.857,12.92713242,0.545932114,2.806474531,0.143300312,1.00E-06,1
11/08/1992,2.9,3,2.8,8.4,27.55333333,39.67033333,8.333333333,1744600,2997857.555,2.886751346,0.940262906,0.059651767,0.1,1.00E-06,1
12/08/1992,2.8,2,2.8,5.6,27.63,39.126,10,1317660,1849876.192,3.680065,0.045254834,0.024041631,0,1.00E-06,1
02/09/1992,2.6,1,2.6,2.6,25.095,40.136,10,5457600,1476417.608,3.680065,0.2428293,1.134111977,0.221359436,1.00E-06,1
04/09/1992,2.3,1,2.3,2.3,24.303,41.382,10,7987140,1440850.124,3.680065,0.261645916,1.239832963,0.242441287,1.00E-06,1
05/09/1992,2.6,1,2.6,2.6,30.52,40.528,10,2734860,1423066.382,3.680065,0.271054224,1.292693456,0.252982213,1.00E-06,1
12/09/1992,2.8,5,2.72,13.6,28.596,39.4318,10,543324,1193894.296,3.680065,0.410000244,0.68972567,0.083666003,1.00E-06,1
15/09/1992,2.7,2,2.7,5.4,27.6735,40.2205,10,50250,34322.96316,3.680065,0.457498087,4.722766192,0,1.00E-06,1
26/09/1992,2.5,1,2.5,2.5,24.463,39.843,10,39600,50976.40017,3.680065,0.524772415,2.121171572,0.386765761,1.00E-06,1
05/10/1992,2.9,2,2.75,5.5,29.2955,39.8065,10,1291200,1790479.223,3.680065,1.040154075,1.238143974,0.212132034,1.00E-06,1
07/10/1992,2.3,1,2.3,2.3,24.361,40.324,10,5292060,1796037.082,0.565685425,0.98853528,0.981699915,0.400693843,1.00E-06,1
09/10/1992,2.7,1,2.7,2.7,30.86,40.055,10,2596680,1801594.941,1.13137085,0.936916485,0.725255855,0.589255651,1.00E-06,1
